class,app,p,pf,qf,vf
1,2,0.066323,0.56359,0.82472,0.081963
1,2,0.06624,0.56148,0.82622,0.080745
1,2,0.066146,0.56284,0.82532,0.080738
1,2,0.065685,0.56007,0.82727,0.080803
1,2,0.06558,0.5589,0.82806,0.080566
1,2,0.065411,0.55833,0.8285,0.080656
1,2,0.065583,0.55893,0.828,0.08012
1,2,0.065603,0.55806,0.82851,0.079987
1,2,0.065286,0.55775,0.82882,0.079647
1,2,0.064799,0.55485,0.83081,0.07967
1,2,0.064505,0.55435,0.83105,0.080007
1,2,0.064686,0.55637,0.82989,0.079547
1,2,0.064529,0.55659,0.82963,0.079917
1,2,0.06438,0.55563,0.83029,0.080175
1,2,0.063975,0.55378,0.83152,0.080299
1,2,0.06373,0.55284,0.83213,0.080064
1,2,0.063166,0.54835,0.83508,0.079522
1,2,0.063049,0.54797,0.83527,0.079477
1,2,0.062642,0.54674,0.83634,0.079023
1,2,0.062224,0.54386,0.83803,0.078377
1,2,0.061663,0.54035,0.84026,0.078241
1,2,0.061505,0.53762,0.84204,0.07825
1,2,0.061802,0.54094,0.83981,0.077781
1,2,0.06044,0.55093,0.83258,0.076882
1,2,0.059583,0.54035,0.83982,0.077127
1,2,0.061467,0.54836,0.83459,0.077429
1,2,0.051104,0.56024,0.6835,0.24899
1,2,0.0641,0.55359,0.83151,0.079749
1,2,0.066237,0.56544,0.82341,0.086105
1,2,0.067144,0.57084,0.81973,0.084411
1,2,0.068079,0.57429,0.81722,0.082417
1,2,0.068149,0.5747,0.81688,0.0823
1,2,0.068157,0.57597,0.81601,0.082272
1,2,0.06788,0.57524,0.81672,0.081182
1,2,0.067723,0.57439,0.81729,0.080861
1,2,0.067897,0.57343,0.81796,0.080232
1,2,0.067849,0.57189,0.81907,0.080832
1,2,0.067459,0.57115,0.81954,0.080101
1,2,0.06685,0.56781,0.82186,0.079249
1,2,0.066493,0.5678,0.82189,0.07925
1,2,0.066032,0.56512,0.82373,0.078733
1,2,0.066266,0.56349,0.82489,0.079074
1,2,0.065772,0.56263,0.82555,0.07916
1,2,0.065482,0.56072,0.82679,0.079339
1,2,0.064651,0.5574,0.8291,0.078389
1,2,0.064257,0.55296,0.83204,0.077905
1,2,0.064189,0.55235,0.83251,0.078356
1,2,0.064218,0.55224,0.83255,0.078141
1,2,0.063672,0.5488,0.83487,0.078116
1,2,0.063323,0.54673,0.83615,0.077721
1,2,0.062752,0.54335,0.83835,0.076932
1,2,0.062338,0.5422,0.83921,0.076564
1,2,0.062084,0.53874,0.84143,0.076059
1,2,0.036001,0.59604,0.7858,0.17463
1,2,0.063603,0.54835,0.83487,0.078302
1,2,0.063604,0.54809,0.83527,0.077798
1,2,0.064855,0.55779,0.82836,0.078104
1,2,0.065638,0.56074,0.82684,0.078901
1,2,0.066412,0.56373,0.8247,0.079074
1,2,0.066258,0.5623,0.8257,0.079116
1,2,0.065781,0.56067,0.82681,0.079422
1,2,0.065605,0.56123,0.82651,0.078972
1,2,0.065546,0.56132,0.82643,0.078207
1,2,0.065512,0.559,0.82801,0.078137
1,2,0.065035,0.56179,0.82611,0.07845
